Full Name,County,State,Population (as of July 2019)
"Walton County, Georgia",Walton County,Georgia,94593
"Ware County, Georgia",Ware County,Georgia,35734
"Warren County, Georgia",Warren County,Georgia,5254
"Washington County, Georgia",Washington County,Georgia,20374
"Wayne County, Georgia",Wayne County,Georgia,29927
"Webster County, Georgia",Webster County,Georgia,2607
"Wheeler County, Georgia",Wheeler County,Georgia,7855
"White County, Georgia",White County,Georgia,30798
"Whitfield County, Georgia",Whitfield County,Georgia,104628
"Wilcox County, Georgia",Wilcox County,Georgia,8635
"Wilkes County, Georgia",Wilkes County,Georgia,9777
"Wilkinson County, Georgia",Wilkinson County,Georgia,8954
"Worth County, Georgia",Worth County,Georgia,20247
"Hawaii County, Hawaii",Hawaii County,Hawaii,201513
"Honolulu County, Hawaii",Honolulu County,Hawaii,974563
"Kalawao County, Hawaii",Kalawao County,Hawaii,86
"Kauai County, Hawaii",Kauai County,Hawaii,72293
"Maui County, Hawaii",Maui County,Hawaii,167417
"Ada County, Idaho",Ada County,Idaho,481587
"Adams County, Idaho",Adams County,Idaho,4294
"Bannock County, Idaho",Bannock County,Idaho,87808
"Bear Lake County, Idaho",Bear Lake County,Idaho,6125
"Benewah County, Idaho",Benewah County,Idaho,9298
"Bingham County, Idaho",Bingham County,Idaho,46811
"Blaine County, Idaho",Blaine County,Idaho,23021
"Boise County, Idaho",Boise County,Idaho,7831
"Bonner County, Idaho",Bonner County,Idaho,45739
"Bonneville County, Idaho",Bonneville County,Idaho,119062
"Boundary County, Idaho",Boundary County,Idaho,12245
"Butte County, Idaho",Butte County,Idaho,2597
"Camas County, Idaho",Camas County,Idaho,1106
"Canyon County, Idaho",Canyon County,Idaho,229849
"Caribou County, Idaho",Caribou County,Idaho,7155
"Cassia County, Idaho",Cassia County,Idaho,24030
"Clark County, Idaho",Clark County,Idaho,845
"Clearwater County, Idaho",Clearwater County,Idaho,8756
"Custer County, Idaho",Custer County,Idaho,4315
"Elmore County, Idaho",Elmore County,Idaho,27511
"Franklin County, Idaho",Franklin County,Idaho,13876
"Fremont County, Idaho",Fremont County,Idaho,13099
"Gem County, Idaho",Gem County,Idaho,18112
"Gooding County, Idaho",Gooding County,Idaho,15179
"Idaho County, Idaho",Idaho County,Idaho,16667
"Jefferson County, Idaho",Jefferson County,Idaho,29871
"Jerome County, Idaho",Jerome County,Idaho,24412
"Kootenai County, Idaho",Kootenai County,Idaho,165697
"Latah County, Idaho",Latah County,Idaho,40108
"Lemhi County, Idaho",Lemhi County,Idaho,8027
"Lewis County, Idaho",Lewis County,Idaho,3838
"Lincoln County, Idaho",Lincoln County,Idaho,5366
"Madison County, Idaho",Madison County,Idaho,39907
"Minidoka County, Idaho",Minidoka County,Idaho,21039
"Nez Perce County, Idaho",Nez Perce County,Idaho,40408
"Oneida County, Idaho",Oneida County,Idaho,4531
"Owyhee County, Idaho",Owyhee County,Idaho,11823
"Payette County, Idaho",Payette County,Idaho,23951
"Power County, Idaho",Power County,Idaho,7681
"Shoshone County, Idaho",Shoshone County,Idaho,12882
"Teton County, Idaho",Teton County,Idaho,12142
"Twin Falls County, Idaho",Twin Falls County,Idaho,86878
"Valley County, Idaho",Valley County,Idaho,11392
"Washington County, Idaho",Washington County,Idaho,10194
"Adams County, Illinois",Adams County,Illinois,65435
"Alexander County, Illinois",Alexander County,Illinois,5761
"Bond County, Illinois",Bond County,Illinois,16426
"Boone County, Illinois",Boone County,Illinois,53544
"Brown County, Illinois",Brown County,Illinois,6578
"Bureau County, Illinois",Bureau County,Illinois,32628
"Calhoun County, Illinois",Calhoun County,Illinois,4739
"Carroll County, Illinois",Carroll County,Illinois,14305
"Cass County, Illinois",Cass County,Illinois,12147
"Champaign County, Illinois",Champaign County,Illinois,209689
"Christian County, Illinois",Christian County,Illinois,32304
"Clark County, Illinois",Clark County,Illinois,15441
"Clay County, Illinois",Clay County,Illinois,13184
"Clinton County, Illinois",Clinton County,Illinois,37562
"Coles County, Illinois",Coles County,Illinois,50621
"Cook County, Illinois",Cook County,Illinois,5150233
"Crawford County, Illinois",Crawford County,Illinois,18667
"Cumberland County, Illinois",Cumberland County,Illinois,10766
"DeKalb County, Illinois",DeKalb County,Illinois,104897
"De Witt County, Illinois",De Witt County,Illinois,15638
"Douglas County, Illinois",Douglas County,Illinois,19465
"DuPage County, Illinois",DuPage County,Illinois,922921
"Edgar County, Illinois",Edgar County,Illinois,17161
"Edwards County, Illinois",Edwards County,Illinois,6395
"Effingham County, Illinois",Effingham County,Illinois,34008
"Fayette County, Illinois",Fayette County,Illinois,21336
"Ford County, Illinois",Ford County,Illinois,12961
"Franklin County, Illinois",Franklin County,Illinois,38469
"Fulton County, Illinois",Fulton County,Illinois,34340
"Gallatin County, Illinois",Gallatin County,Illinois,4828
"Greene County, Illinois",Greene County,Illinois,12969
"Grundy County, Illinois",Grundy County,Illinois,51054
"Hamilton County, Illinois",Hamilton County,Illinois,8116
"Hancock County, Illinois",Hancock County,Illinois,17708
"Hardin County, Illinois",Hardin County,Illinois,3821
"Henderson County, Illinois",Henderson County,Illinois,6646
"Henry County, Illinois",Henry County,Illinois,48913
"Iroquois County, Illinois",Iroquois County,Illinois,27114
"Jackson County, Illinois",Jackson County,Illinois,56750
"Jasper County, Illinois",Jasper County,Illinois,9610
"Jefferson County, Illinois",Jefferson County,Illinois,37684
"Jersey County, Illinois",Jersey County,Illinois,21773
"Jo Daviess County, Illinois",Jo Daviess County,Illinois,21235
"Johnson County, Illinois",Johnson County,Illinois,12417
"Kane County, Illinois",Kane County,Illinois,532403
"Kankakee County, Illinois",Kankakee County,Illinois,109862
"Kendall County, Illinois",Kendall County,Illinois,128990
"Knox County, Illinois",Knox County,Illinois,49699
"Lake County, Illinois",Lake County,Illinois,696535
"LaSalle County, Illinois",LaSalle County,Illinois,108669
"Lawrence County, Illinois",Lawrence County,Illinois,15678
"Lee County, Illinois",Lee County,Illinois,34096
"Livingston County, Illinois",Livingston County,Illinois,35648
"Logan County, Illinois",Logan County,Illinois,28618
"McDonough County, Illinois",McDonough County,Illinois,29682
"McHenry County, Illinois",McHenry County,Illinois,307774
"McLean County, Illinois",McLean County,Illinois,171517
"Macon County, Illinois",Macon County,Illinois,104009
"Macoupin County, Illinois",Macoupin County,Illinois,44926
"Madison County, Illinois",Madison County,Illinois,262966
"Marion County, Illinois",Marion County,Illinois,37205
"Marshall County, Illinois",Marshall County,Illinois,11438
"Mason County, Illinois",Mason County,Illinois,13359
"Massac County, Illinois",Massac County,Illinois,13772
"Menard County, Illinois",Menard County,Illinois,12196
"Mercer County, Illinois",Mercer County,Illinois,15437
"Monroe County, Illinois",Monroe County,Illinois,34637
"Montgomery County, Illinois",Montgomery County,Illinois,28414
"Morgan County, Illinois",Morgan County,Illinois,33658
"Moultrie County, Illinois",Moultrie County,Illinois,14501
"Ogle County, Illinois",Ogle County,Illinois,50643
"Peoria County, Illinois",Peoria County,Illinois,179179
"Perry County, Illinois",Perry County,Illinois,20916
"Piatt County, Illinois",Piatt County,Illinois,16344
"Pike County, Illinois",Pike County,Illinois,15561
"Pope County, Illinois",Pope County,Illinois,4177
"Pulaski County, Illinois",Pulaski County,Illinois,5335
"Putnam County, Illinois",Putnam County,Illinois,5739
"Randolph County, Illinois",Randolph County,Illinois,31782
"Richland County, Illinois",Richland County,Illinois,15513
"Rock Island County, Illinois",Rock Island County,Illinois,141879
"St Clair County, Illinois",St Clair County,Illinois,259686
"Saline County, Illinois",Saline County,Illinois,23491
"Sangamon County, Illinois",Sangamon County,Illinois,194672
"Schuyler County, Illinois",Schuyler County,Illinois,6768
"Scott County, Illinois",Scott County,Illinois,4951
"Shelby County, Illinois",Shelby County,Illinois,21634
"Stark County, Illinois",Stark County,Illinois,5342
"Stephenson County, Illinois",Stephenson County,Illinois,44498
"Tazewell County, Illinois",Tazewell County,Illinois,131803
"Union County, Illinois",Union County,Illinois,16653
"Vermilion County, Illinois",Vermilion County,Illinois,75758
"Wabash County, Illinois",Wabash County,Illinois,11520
"Warren County, Illinois",Warren County,Illinois,16844
"Washington County, Illinois",Washington County,Illinois,13887
"Wayne County, Illinois",Wayne County,Illinois,16215
"White County, Illinois",White County,Illinois,13537
"Whiteside County, Illinois",Whiteside County,Illinois,55175
"Will County, Illinois",Will County,Illinois,690743
"Williamson County, Illinois",Williamson County,Illinois,66597
"Winnebago County, Illinois",Winnebago County,Illinois,282572
"Woodford County, Illinois",Woodford County,Illinois,38459
"Adams County, Indiana",Adams County,Indiana,35777
"Allen County, Indiana",Allen County,Indiana,379299
"Bartholomew County, Indiana",Bartholomew County,Indiana,83779
"Benton County, Indiana",Benton County,Indiana,8748
"Blackford County, Indiana",Blackford County,Indiana,11758
"Boone County, Indiana",Boone County,Indiana,67843
"Brown County, Indiana",Brown County,Indiana,15092
"Carroll County, Indiana",Carroll County,Indiana,20257
"Cass County, Indiana",Cass County,Indiana,37689
"Clark County, Indiana",Clark County,Indiana,118302
"Clay County, Indiana",Clay County,Indiana,26225
"Clinton County, Indiana",Clinton County,Indiana,32399
"Crawford County, Indiana",Crawford County,Indiana,10577
"Daviess County, Indiana",Daviess County,Indiana,33351
"Dearborn County, Indiana",Dearborn County,Indiana,49458
"Decatur County, Indiana",Decatur County,Indiana,26559
"DeKalb County, Indiana",DeKalb County,Indiana,43475
"Delaware County, Indiana",Delaware County,Indiana,114135
"Dubois County, Indiana",Dubois County,Indiana,42736
"Elkhart County, Indiana",Elkhart County,Indiana,206341
"Fayette County, Indiana",Fayette County,Indiana,23102
"Floyd County, Indiana",Floyd County,Indiana,78522
"Fountain County, Indiana",Fountain County,Indiana,16346
"Franklin County, Indiana",Franklin County,Indiana,22758
"Fulton County, Indiana",Fulton County,Indiana,19974
"Gibson County, Indiana",Gibson County,Indiana,33659
"Grant County, Indiana",Grant County,Indiana,65769
"Greene County, Indiana",Greene County,Indiana,31922
"Hamilton County, Indiana",Hamilton County,Indiana,338011
"Hancock County, Indiana",Hancock County,Indiana,78168
"Harrison County, Indiana",Harrison County,Indiana,40515
"Hendricks County, Indiana",Hendricks County,Indiana,170311
"Henry County, Indiana",Henry County,Indiana,47972
"Howard County, Indiana",Howard County,Indiana,82544
"Huntington County, Indiana",Huntington County,Indiana,36520
"Jackson County, Indiana",Jackson County,Indiana,44231
"Jasper County, Indiana",Jasper County,Indiana,33562
"Jay County, Indiana",Jay County,Indiana,20436
"Jefferson County, Indiana",Jefferson County,Indiana,32308
"Jennings County, Indiana",Jennings County,Indiana,27735
"Johnson County, Indiana",Johnson County,Indiana,158167
"Knox County, Indiana",Knox County,Indiana,36594
"Kosciusko County, Indiana",Kosciusko County,Indiana,79456
"LaGrange County, Indiana",LaGrange County,Indiana,39614
"Lake County, Indiana",Lake County,Indiana,485493
"LaPorte County, Indiana",LaPorte County,Indiana,109888
"Lawrence County, Indiana",Lawrence County,Indiana,45370
"Madison County, Indiana",Madison County,Indiana,129569
"Marion County, Indiana",Marion County,Indiana,964582
"Marshall County, Indiana",Marshall County,Indiana,46258
"Martin County, Indiana",Martin County,Indiana,10255
"Miami County, Indiana",Miami County,Indiana,35516
"Monroe County, Indiana",Monroe County,Indiana,148431
"Montgomery County, Indiana",Montgomery County,Indiana,38338
"Morgan County, Indiana",Morgan County,Indiana,70489
"Newton County, Indiana",Newton County,Indiana,13984
"Noble County, Indiana",Noble County,Indiana,47744
"Ohio County, Indiana",Ohio County,Indiana,5875
"Orange County, Indiana",Orange County,Indiana,19646
"Owen County, Indiana",Owen County,Indiana,20799
"Parke County, Indiana",Parke County,Indiana,16937
"Perry County, Indiana",Perry County,Indiana,19169
"Pike County, Indiana",Pike County,Indiana,12389
"Porter County, Indiana",Porter County,Indiana,170389
"Posey County, Indiana",Posey County,Indiana,25427
"Pulaski County, Indiana",Pulaski County,Indiana,12353
"Putnam County, Indiana",Putnam County,Indiana,37576
"Randolph County, Indiana",Randolph County,Indiana,24665
"Ripley County, Indiana",Ripley County,Indiana,28324
"Rush County, Indiana",Rush County,Indiana,16581
"St Joseph County, Indiana",St Joseph County,Indiana,271826
"Scott County, Indiana",Scott County,Indiana,23873
"Shelby County, Indiana",Shelby County,Indiana,44729
"Spencer County, Indiana",Spencer County,Indiana,20277
"Starke County, Indiana",Starke County,Indiana,22995
"Steuben County, Indiana",Steuben County,Indiana,34594
"Sullivan County, Indiana",Sullivan County,Indiana,20669
"Switzerland County, Indiana",Switzerland County,Indiana,10751
"Tippecanoe County, Indiana",Tippecanoe County,Indiana,195732
"Tipton County, Indiana",Tipton County,Indiana,15148
"Union County, Indiana",Union County,Indiana,7054
"Vanderburgh County, Indiana",Vanderburgh County,Indiana,181451
"Vermillion County, Indiana",Vermillion County,Indiana,15498
"Vigo County, Indiana",Vigo County,Indiana,107038
"Wabash County, Indiana",Wabash County,Indiana,30996
"Warren County, Indiana",Warren County,Indiana,8265
"Warrick County, Indiana",Warrick County,Indiana,62998
"Washington County, Indiana",Washington County,Indiana,28036
"Wayne County, Indiana",Wayne County,Indiana,65884
"Wells County, Indiana",Wells County,Indiana,28296
"White County, Indiana",White County,Indiana,24102
"Whitley County, Indiana",Whitley County,Indiana,33964
"Adair County, Iowa",Adair County,Iowa,7152
"Adams County, Iowa",Adams County,Iowa,3602
"Allamakee County, Iowa",Allamakee County,Iowa,13687
"Appanoose County, Iowa",Appanoose County,Iowa,12426
"Audubon County, Iowa",Audubon County,Iowa,5496
"Benton County, Iowa",Benton County,Iowa,25645
"Black Hawk County, Iowa",Black Hawk County,Iowa,131228
"Boone County, Iowa",Boone County,Iowa,26234
"Bremer County, Iowa",Bremer County,Iowa,25062
"Buchanan County, Iowa",Buchanan County,Iowa,21175
"Buena Vista County, Iowa",Buena Vista County,Iowa,19620
"Butler County, Iowa",Butler County,Iowa,14439
"Calhoun County, Iowa",Calhoun County,Iowa,9668
"Carroll County, Iowa",Carroll County,Iowa,20165
"Cass County, Iowa",Cass County,Iowa,12836
"Cedar County, Iowa",Cedar County,Iowa,18627
"Cerro Gordo County, Iowa",Cerro Gordo County,Iowa,42450
"Cherokee County, Iowa",Cherokee County,Iowa,11235
"Chickasaw County, Iowa",Chickasaw County,Iowa,11933
"Clarke County, Iowa",Clarke County,Iowa,9395
"Clay County, Iowa",Clay County,Iowa,16016
"Clayton County, Iowa",Clayton County,Iowa,17549
"Clinton County, Iowa",Clinton County,Iowa,46429
"Crawford County, Iowa",Crawford County,Iowa,16820
"Dallas County, Iowa",Dallas County,Iowa,93453
"Davis County, Iowa",Davis County,Iowa,9000
"Decatur County, Iowa",Decatur County,Iowa,7870
"Delaware County, Iowa",Delaware County,Iowa,17011
"Des Moines County, Iowa",Des Moines County,Iowa,38967
"Dickinson County, Iowa",Dickinson County,Iowa,17258
"Dubuque County, Iowa",Dubuque County,Iowa,97311
"Emmet County, Iowa",Emmet County,Iowa,9208
"Fayette County, Iowa",Fayette County,Iowa,19650
"Floyd County, Iowa",Floyd County,Iowa,15642
"Franklin County, Iowa",Franklin County,Iowa,10070
"Fremont County, Iowa",Fremont County,Iowa,6960
"Greene County, Iowa",Greene County,Iowa,8888
"Grundy County, Iowa",Grundy County,Iowa,12232
"Guthrie County, Iowa",Guthrie County,Iowa,10689
"Hamilton County, Iowa",Hamilton County,Iowa,14773
"Hancock County, Iowa",Hancock County,Iowa,10630
"Hardin County, Iowa",Hardin County,Iowa,16846
"Harrison County, Iowa",Harrison County,Iowa,14049
"Henry County, Iowa",Henry County,Iowa,19954
"Howard County, Iowa",Howard County,Iowa,9158
"Humboldt County, Iowa",Humboldt County,Iowa,9558
"Ida County, Iowa",Ida County,Iowa,6860
"Iowa County, Iowa",Iowa County,Iowa,16184
"Jackson County, Iowa",Jackson County,Iowa,19439
"Jasper County, Iowa",Jasper County,Iowa,37185
"Jefferson County, Iowa",Jefferson County,Iowa,18295
"Johnson County, Iowa",Johnson County,Iowa,151140
"Jones County, Iowa",Jones County,Iowa,20681
"Keokuk County, Iowa",Keokuk County,Iowa,10246
"Kossuth County, Iowa",Kossuth County,Iowa,14813
"Lee County, Iowa",Lee County,Iowa,33657
"Linn County, Iowa",Linn County,Iowa,226706
"Louisa County, Iowa",Louisa County,Iowa,11035
"Lucas County, Iowa",Lucas County,Iowa,8600
"Lyon County, Iowa",Lyon County,Iowa,11755
"Madison County, Iowa",Madison County,Iowa,16338
"Mahaska County, Iowa",Mahaska County,Iowa,22095
"Marion County, Iowa",Marion County,Iowa,33253
"Marshall County, Iowa",Marshall County,Iowa,39369
"Mills County, Iowa",Mills County,Iowa,15109
"Mitchell County, Iowa",Mitchell County,Iowa,10586
"Monona County, Iowa",Monona County,Iowa,8615
"Monroe County, Iowa",Monroe County,Iowa,7707
"Montgomery County, Iowa",Montgomery County,Iowa,9917
"Muscatine County, Iowa",Muscatine County,Iowa,42664
"O'Brien County, Iowa",O'Brien County,Iowa,13753
"Osceola County, Iowa",Osceola County,Iowa,5958
"Page County, Iowa",Page County,Iowa,15107
"Palo Alto County, Iowa",Palo Alto County,Iowa,8886
"Plymouth County, Iowa",Plymouth County,Iowa,25177
"Pocahontas County, Iowa",Pocahontas County,Iowa,6619
"Polk County, Iowa",Polk County,Iowa,490161
"Pottawattamie County, Iowa",Pottawattamie County,Iowa,93206
"Poweshiek County, Iowa",Poweshiek County,Iowa,18504
"Ringgold County, Iowa",Ringgold County,Iowa,4894
"Sac County, Iowa",Sac County,Iowa,9721
"Scott County, Iowa",Scott County,Iowa,172943
"Shelby County, Iowa",Shelby County,Iowa,11454
"Sioux County, Iowa",Sioux County,Iowa,34855
"Story County, Iowa",Story County,Iowa,97117
"Tama County, Iowa",Tama County,Iowa,16854
"Taylor County, Iowa",Taylor County,Iowa,6121
"Union County, Iowa",Union County,Iowa,12241
"Van Buren County, Iowa",Van Buren County,Iowa,7044
"Wapello County, Iowa",Wapello County,Iowa,34969
"Warren County, Iowa",Warren County,Iowa,51466
"Washington County, Iowa",Washington County,Iowa,21965
"Wayne County, Iowa",Wayne County,Iowa,6441
"Webster County, Iowa",Webster County,Iowa,35904
"Winnebago County, Iowa",Winnebago County,Iowa,10354
"Winneshiek County, Iowa",Winneshiek County,Iowa,19991
"Woodbury County, Iowa",Woodbury County,Iowa,103107
"Worth County, Iowa",Worth County,Iowa,7381
"Wright County, Iowa",Wright County,Iowa,12562
"Allen County, Kansas",Allen County,Kansas,12369
"Anderson County, Kansas",Anderson County,Kansas,7858
"Atchison County, Kansas",Atchison County,Kansas,16073
"Barber County, Kansas",Barber County,Kansas,4427
"Barton County, Kansas",Barton County,Kansas,25779
"Bourbon County, Kansas",Bourbon County,Kansas,14534
"Brown County, Kansas",Brown County,Kansas,9564
"Butler County, Kansas",Butler County,Kansas,66911
"Chase County, Kansas",Chase County,Kansas,2648
"Chautauqua County, Kansas",Chautauqua County,Kansas,3250
"Cherokee County, Kansas",Cherokee County,Kansas,19939
"Cheyenne County, Kansas",Cheyenne County,Kansas,2657
"Clark County, Kansas",Clark County,Kansas,1994
"Clay County, Kansas",Clay County,Kansas,8002
"Cloud County, Kansas",Cloud County,Kansas,8786
"Coffey County, Kansas",Coffey County,Kansas,8179
"Comanche County, Kansas",Comanche County,Kansas,1700
"Cowley County, Kansas",Cowley County,Kansas,34908
"Crawford County, Kansas",Crawford County,Kansas,38818
"Decatur County, Kansas",Decatur County,Kansas,2827
"Dickinson County, Kansas",Dickinson County,Kansas,18466
"Doniphan County, Kansas",Doniphan County,Kansas,7600
"Douglas County, Kansas",Douglas County,Kansas,122259
"Edwards County, Kansas",Edwards County,Kansas,2798
"Elk County, Kansas",Elk County,Kansas,2530
"Ellis County, Kansas",Ellis County,Kansas,28553
"Ellsworth County, Kansas",Ellsworth County,Kansas,6102
"Finney County, Kansas",Finney County,Kansas,36467
"Ford County, Kansas",Ford County,Kansas,33619
"Franklin County, Kansas",Franklin County,Kansas,25544
"Geary County, Kansas",Geary County,Kansas,31670
"Gove County, Kansas",Gove County,Kansas,2636
"Graham County, Kansas",Graham County,Kansas,2482
"Grant County, Kansas",Grant County,Kansas,7150
"Gray County, Kansas",Gray County,Kansas,5988
"Greeley County, Kansas",Greeley County,Kansas,1232
"Greenwood County, Kansas",Greenwood County,Kansas,5982
"Hamilton County, Kansas",Hamilton County,Kansas,2539
"Harper County, Kansas",Harper County,Kansas,5436
"Harvey County, Kansas",Harvey County,Kansas,34429
"Haskell County, Kansas",Haskell County,Kansas,3968
"Hodgeman County, Kansas",Hodgeman County,Kansas,1794
"Jackson County, Kansas",Jackson County,Kansas,13171
"Jefferson County, Kansas",Jefferson County,Kansas,19043
"Jewell County, Kansas",Jewell County,Kansas,2879
"Johnson County, Kansas",Johnson County,Kansas,602401
"Kearny County, Kansas",Kearny County,Kansas,3838
"Kingman County, Kansas",Kingman County,Kansas,7152
"Kiowa County, Kansas",Kiowa County,Kansas,2475
"Labette County, Kansas",Labette County,Kansas,19618
"Lane County, Kansas",Lane County,Kansas,1535
"Leavenworth County, Kansas",Leavenworth County,Kansas,81758
"Lincoln County, Kansas",Lincoln County,Kansas,2962
"Linn County, Kansas",Linn County,Kansas,9703
"Logan County, Kansas",Logan County,Kansas,2794
"Lyon County, Kansas",Lyon County,Kansas,33195
"McPherson County, Kansas",McPherson County,Kansas,28542
"Marion County, Kansas",Marion County,Kansas,11884
"Marshall County, Kansas",Marshall County,Kansas,9707
"Meade County, Kansas",Meade County,Kansas,4033
"Miami County, Kansas",Miami County,Kansas,34237
"Mitchell County, Kansas",Mitchell County,Kansas,5979
"Montgomery County, Kansas",Montgomery County,Kansas,31829
"Morris County, Kansas",Morris County,Kansas,5620
"Morton County, Kansas",Morton County,Kansas,2587
"Nemaha County, Kansas",Nemaha County,Kansas,10231
"Neosho County, Kansas",Neosho County,Kansas,16007
"Ness County, Kansas",Ness County,Kansas,2750
"Norton County, Kansas",Norton County,Kansas,5361
"Osage County, Kansas",Osage County,Kansas,15949
"Osborne County, Kansas",Osborne County,Kansas,3421
"Ottawa County, Kansas",Ottawa County,Kansas,5704
"Pawnee County, Kansas",Pawnee County,Kansas,6414
"Phillips County, Kansas",Phillips County,Kansas,5234
"Pottawatomie County, Kansas",Pottawatomie County,Kansas,24383
"Pratt County, Kansas",Pratt County,Kansas,9164
"Rawlins County, Kansas",Rawlins County,Kansas,2530
"Reno County, Kansas",Reno County,Kansas,61998
"Republic County, Kansas",Republic County,Kansas,4636
"Rice County, Kansas",Rice County,Kansas,9537
"Riley County, Kansas",Riley County,Kansas,74232
"Rooks County, Kansas",Rooks County,Kansas,4920
"Rush County, Kansas",Rush County,Kansas,3036
"Russell County, Kansas",Russell County,Kansas,6856
"Saline County, Kansas",Saline County,Kansas,54224
"Scott County, Kansas",Scott County,Kansas,4823
"Sedgwick County, Kansas",Sedgwick County,Kansas,516042
"Seward County, Kansas",Seward County,Kansas,21428
"Shawnee County, Kansas",Shawnee County,Kansas,176875
"Sheridan County, Kansas",Sheridan County,Kansas,2521
"Sherman County, Kansas",Sherman County,Kansas,5917
"Smith County, Kansas",Smith County,Kansas,3583
"Stafford County, Kansas",Stafford County,Kansas,4156
"Stanton County, Kansas",Stanton County,Kansas,2006
"Stevens County, Kansas",Stevens County,Kansas,5485
"Sumner County, Kansas",Sumner County,Kansas,22836
"Thomas County, Kansas",Thomas County,Kansas,7777
"Trego County, Kansas",Trego County,Kansas,2803
"Wabaunsee County, Kansas",Wabaunsee County,Kansas,6931
"Wallace County, Kansas",Wallace County,Kansas,1518
"Washington County, Kansas",Washington County,Kansas,5406
"Wichita County, Kansas",Wichita County,Kansas,2119
"Wilson County, Kansas",Wilson County,Kansas,8525
"Woodson County, Kansas",Woodson County,Kansas,3138
"Wyandotte County, Kansas",Wyandotte County,Kansas,165429
"Adair County, Kentucky",Adair County,Kentucky,19202
"Allen County, Kentucky",Allen County,Kentucky,21315
"Anderson County, Kentucky",Anderson County,Kentucky,22747
"Ballard County, Kentucky",Ballard County,Kentucky,7888
"Barren County, Kentucky",Barren County,Kentucky,44249
"Bath County, Kentucky",Bath County,Kentucky,12500
"Bell County, Kentucky",Bell County,Kentucky,26032
"Boone County, Kentucky",Boone County,Kentucky,133581
"Bourbon County, Kentucky",Bourbon County,Kentucky,19788
"Boyd County, Kentucky",Boyd County,Kentucky,46718
"Boyle County, Kentucky",Boyle County,Kentucky,30060
"Bracken County, Kentucky",Bracken County,Kentucky,8303
"Breathitt County, Kentucky",Breathitt County,Kentucky,12630
"Breckinridge County, Kentucky",Breckinridge County,Kentucky,20477
"Bullitt County, Kentucky",Bullitt County,Kentucky,81676
"Butler County, Kentucky",Butler County,Kentucky,12879
"Caldwell County, Kentucky",Caldwell County,Kentucky,12747
"Calloway County, Kentucky",Calloway County,Kentucky,39001
"Campbell County, Kentucky",Campbell County,Kentucky,93584
"Carlisle County, Kentucky",Carlisle County,Kentucky,4760
"Carroll County, Kentucky",Carroll County,Kentucky,10631
"Carter County, Kentucky",Carter County,Kentucky,26797
"Casey County, Kentucky",Casey County,Kentucky,16159
"Christian County, Kentucky",Christian County,Kentucky,70461
"Clark County, Kentucky",Clark County,Kentucky,36263
"Clay County, Kentucky",Clay County,Kentucky,19901
"Clinton County, Kentucky",Clinton County,Kentucky,10218
"Crittenden County, Kentucky",Crittenden County,Kentucky,8806
"Cumberland County, Kentucky",Cumberland County,Kentucky,6614
"Daviess County, Kentucky",Daviess County,Kentucky,101511
"Edmonson County, Kentucky",Edmonson County,Kentucky,12150
"Elliott County, Kentucky",Elliott County,Kentucky,7517
"Estill County, Kentucky",Estill County,Kentucky,14106
"Fayette County, Kentucky",Fayette County,Kentucky,323152
"Fleming County, Kentucky",Fleming County,Kentucky,14581
"Floyd County, Kentucky",Floyd County,Kentucky,35589
"Franklin County, Kentucky",Franklin County,Kentucky,50991
"Fulton County, Kentucky",Fulton County,Kentucky,5969
"Gallatin County, Kentucky",Gallatin County,Kentucky,8869
"Garrard County, Kentucky",Garrard County,Kentucky,17666
"Grant County, Kentucky",Grant County,Kentucky,25069
"Graves County, Kentucky",Graves County,Kentucky,37266
"Grayson County, Kentucky",Grayson County,Kentucky,26427
"Green County, Kentucky",Green County,Kentucky,10941
"Greenup County, Kentucky",Greenup County,Kentucky,35098
"Hancock County, Kentucky",Hancock County,Kentucky,8722
"Hardin County, Kentucky",Hardin County,Kentucky,110958
"Harlan County, Kentucky",Harlan County,Kentucky,26010
"Harrison County, Kentucky",Harrison County,Kentucky,18886
"Hart County, Kentucky",Hart County,Kentucky,19035
"Henderson County, Kentucky",Henderson County,Kentucky,45210
"Henry County, Kentucky",Henry County,Kentucky,16126
"Hickman County, Kentucky",Hickman County,Kentucky,4380
"Hopkins County, Kentucky",Hopkins County,Kentucky,44686
"Jackson County, Kentucky",Jackson County,Kentucky,13329
"Jefferson County, Kentucky",Jefferson County,Kentucky,766757
"Jessamine County, Kentucky",Jessamine County,Kentucky,54115
"Johnson County, Kentucky",Johnson County,Kentucky,22188
"Kenton County, Kentucky",Kenton County,Kentucky,166998
"Knott County, Kentucky",Knott County,Kentucky,14806
"Knox County, Kentucky",Knox County,Kentucky,31145
"Larue County, Kentucky",Larue County,Kentucky,14398
"Laurel County, Kentucky",Laurel County,Kentucky,60813
"Lawrence County, Kentucky",Lawrence County,Kentucky,15317
"Lee County, Kentucky",Lee County,Kentucky,7403
"Leslie County, Kentucky",Leslie County,Kentucky,9877
"Letcher County, Kentucky",Letcher County,Kentucky,21553
"Lewis County, Kentucky",Lewis County,Kentucky,13275
"Lincoln County, Kentucky",Lincoln County,Kentucky,24549
"Livingston County, Kentucky",Livingston County,Kentucky,9194
"Logan County, Kentucky",Logan County,Kentucky,27102
"Lyon County, Kentucky",Lyon County,Kentucky,8210
"McCracken County, Kentucky",McCracken County,Kentucky,65418
"McCreary County, Kentucky",McCreary County,Kentucky,17231
